Unnamed: 0,Tweet Posted Time (UTC),Tweet Content,Tweet Location
7494,14-03-2020,Corona virus outbreak has highlighted need to develop infectious dieseses as subspeciality which is still in infancy in India. Hope MCI takes a note. #COVID19,Madhya Pradesh
7495,14-03-2020,My daughter beautiful message to all children how to precure from #Coronavirus ,Madhya Pradesh
7496,14-03-2020,Be safe #coronavirus ,Madhya Pradesh
7497,14-03-2020,What an overwhelmed healthcare system looks like. #CoronaVirus ,Madhya Pradesh
7498,14-03-2020,Lockdown party vs Corona ,Madhya Pradesh
9377,15-03-2020,What a Name. Corona Pyaar Hai. will give tough competition to hrithikâs kaho naa pyaar hai @krishikalulla @iHrithik @ErosIntl #COVIDã¼19 #coronavirusinindia #coronavirus ,Madhya Pradesh
9378,15-03-2020,Coronavirus Don't let you go your growth and country growth and economy with any virus. Fight and rescue with it by taking small prevention and safety measures. Adopt basic hygiene and avoid things which can makeâ¦ https://www.instagram.com/p/B9vuPlul2-d/?igshid=199zkpe8szco,Madhya Pradesh
9379,15-03-2020,#IndianGovernment Making big mistake by only checking #coronavirus symptoms of people coming from another countries. I request to @PMOIndia @drharshvardhan please do campaigns at every corner &amp; start checking every Indian citizens either they have symptoms or not. #COVIDã¼19,Madhya Pradesh
9380,15-03-2020,Ofcourse  #coronavirus is a huge problem.That's why: 1. When there were only 50 cases in China  India started thermal screenings 2. Even before 1st death in India  the it cancelled visas 3. Evacuated Indians across globe 180 characters criticism is easy  24*7 hardwork isn't. ,Madhya Pradesh
9381,15-03-2020,so apparently the corona virus is only lethal to boomers? cool.,Madhya Pradesh
9382,15-03-2020,@ArvindKejriwal Sir  this will work for sure .. atleast try it as an anti dote to kill Corona Virus .. ,Madhya Pradesh
9383,15-03-2020,@WHO  this will work for sure .. atleast try it as an anti dote to kill Corona Virus .. ,Madhya Pradesh
9384,15-03-2020,@realDonaldTrump Sir   this will work for sure .. atleast try it as an anti dote to kill Corona Virus .. ,Madhya Pradesh
9385,15-03-2020,@narendramodi Sir   this will work for sure .. atleast try it as an anti dote to kill Corona Virus .. ,Madhya Pradesh
9386,15-03-2020,Jaipur doctors cure 3 out of 4 COVID-19 patients ,Madhya Pradesh
9387,15-03-2020,Be safe #corona #covid #covid_19 @Indore  India https://www.instagram.com/p/B9wnpWdlbW5/?igshid=woyffgbivrtt,Madhya Pradesh
